斥/岿/老,辆啊,措厚,芭贰樊(林),扁包_概荐樊(林),扁包_概档樊(林),扁包_鉴概荐(林),寇惫牢_概荐樊(林),寇惫牢_概档樊(林),寇惫牢_鉴概荐(林),辆格内靛,辆格疙,isu_cd
2001/08/23,6100.0,-100.0,57030,0,2290,-2290,0,0,0,000060,皋府明拳犁,KR7000060004
2001/08/22,6200.0,190.0,106120,0,6710,-6710,0,0,0,000060,皋府明拳犁,KR7000060004
2001/08/21,6010.0,-70.0,69680,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/08/20,6080.0,-230.0,104080,0,0,0,0,100,-100,000060,皋府明拳犁,KR7000060004
2001/08/17,6310.0,-210.0,249480,87000,150000,-63000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/08/16,6520.0,120.0,367080,11000,64010,-53010,300,0,300,000060,皋府明拳犁,KR7000060004
2001/08/14,6400.0,690.0,291000,7650,39650,-32000,500,0,500,000060,皋府明拳犁,KR7000060004
2001/08/13,5710.0,0.0,15720,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/08/10,5710.0,-90.0,37400,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/08/09,5800.0,-320.0,59490,5000,0,5000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/08/08,6120.0,150.0,77770,20000,4000,16000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/08/07,5970.0,210.0,102950,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/08/06,5760.0,-220.0,46530,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/08/03,5980.0,40.0,73120,0,10000,-10000,100,0,100,000060,皋府明拳犁,KR7000060004
2001/08/02,5940.0,-70.0,130000,0,8570,-8570,100,0,100,000060,皋府明拳犁,KR7000060004
2001/08/01,6010.0,150.0,208970,4000,7040,-3040,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/31,5860.0,760.0,120200,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/30,5100.0,-50.0,44500,20000,20000,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/27,5150.0,180.0,73730,0,40200,-40200,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/26,4970.0,120.0,111040,0,49580,-49580,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/25,4850.0,-150.0,164890,0,95620,-95620,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/24,5000.0,0.0,115120,5000,51760,-46760,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/23,5000.0,-380.0,24790,0,7990,-7990,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/20,5380.0,-120.0,48160,960,0,960,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/19,5500.0,10.0,37400,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/18,5490.0,-300.0,98920,48000,38600,9400,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/16,5790.0,-310.0,179960,107000,106800,200,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/13,6100.0,-440.0,50980,0,760,-760,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/12,6540.0,50.0,101310,14560,35900,-21340,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/11,6490.0,-110.0,50220,10000,0,10000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/10,6600.0,-260.0,31650,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/09,6860.0,0.0,77550,37100,0,37100,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/06,6860.0,-280.0,43870,0,10,-10,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/05,7140.0,-200.0,28310,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/04,7340.0,10.0,87820,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/03,7330.0,-70.0,89050,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/07/02,7400.0,470.0,154340,30000,20,29980,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/29,6930.0,-20.0,51990,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/28,6950.0,50.0,96570,5000,12870,-7870,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/27,6900.0,-70.0,66740,11150,0,11150,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/26,6970.0,-460.0,147270,53940,15000,38940,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/25,7430.0,-170.0,99300,8000,7130,870,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/22,7600.0,-140.0,130820,2000,0,2000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/21,7740.0,-10.0,108550,18000,0,18000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/20,7750.0,-250.0,206550,8000,4000,4000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/19,8000.0,-200.0,120240,0,10010,-10010,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/18,8200.0,300.0,250110,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/15,7900.0,-200.0,191430,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/14,8100.0,-100.0,168070,5000,0,5000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/13,8200.0,610.0,301310,2000,26000,-24000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/12,7590.0,590.0,190830,0,20,-20,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/11,7000.0,-250.0,90580,31740,10,31730,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/08,7250.0,250.0,229180,10000,8510,1490,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/07,7000.0,-590.0,565120,76000,55060,20940,0,152570,-152570,000060,皋府明拳犁,KR7000060004
2001/06/05,7590.0,-1310.0,337830,29000,12020,16980,0,104070,-104070,000060,皋府明拳犁,KR7000060004
2001/06/04,8900.0,990.0,448800,120170,6340,113830,0,0,0,000060,皋府明拳犁,KR7000060004
2001/06/01,7910.0,700.0,298250,29000,12180,16820,0,0,0,000060,皋府明拳犁,KR7000060004
